"NOMBRE_DEPARTAMENTO","NOMBRE_MUNICIPIO","NOMBRE_SERVICIO","ESTADO_DEL_VEHICULO","NOMBRE_DE_LA_CLASE","FECHA DE REGISTRO","CANTIDAD","MES DE PUBLICACION","AÑO DE PUBLICACIÓN"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","BUSETA","1901","1","AGOSTO","2026"
"BOLIVAR","SANTA ROSA","PARTICULAR","ACTIVO","AUTOMOVIL","1901","2","AGOSTO","2026"
"BOLIVAR","TURBACO","PARTICULAR","ACTIVO","BUSETA","1901","1","AGOSTO","2026"
"BOLIVAR","TURBACO","PÚBLICO","ACTIVO","TRACTOCAMION","1901","1","AGOSTO","2026"
"CAUCA","PATIA","OFICIAL","ACTIVO","BUSETA","1901","1","AGOSTO","2026"
"CAUCA","SANTANDER DE QUILICHAO","OFICIAL","ACTIVO","CAMIONETA","1901","1","AGOSTO","2026"
"CAUCA","TIMBIO","PARTICULAR","ACTIVO","AUTOMOVIL","1901","1","AGOSTO","2026"
"CESAR","AGUACHICA","PARTICULAR","ACTIVO","CAMPERO","1901","1","AGOSTO","2026"
"CESAR","AGUACHICA","PARTICULAR","ACTIVO","MOTOCICLETA","1901","2","AGOSTO","2026"
"CUNDINAMARCA","GIRARDOT","OFICIAL","ACTIVO","AUTOMOVIL","1901","1","AGOSTO","2026"
"CUNDINAMARCA","TENJO","PARTICULAR","ACTIVO","AUTOMOVIL","1901","1","AGOSTO","2026"
"CUNDINAMARCA","ZIPAQUIRA","PARTICULAR","ACTIVO","CAMIONETA","1901","1","AGOSTO","2026"
"HUILA","RIVERA","PARTICULAR","ACTIVO","CAMIONETA","1901","1","AGOSTO","2026"
"MAGDALENA","FUNDACION","PARTICULAR","ACTIVO","CAMION","1901","1","AGOSTO","2026"
"META","RESTREPO","OFICIAL","ACTIVO","AUTOMOVIL","1901","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","OFICIAL","ACTIVO","AUTOMOVIL","1901","67","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","OFICIAL","INCONSISTENTE","AUTOMOVIL","1901","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PÚBLICO","ACTIVO","AUTOMOVIL","1901","23","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","AUTOMOVIL","1901","11","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","OFICIAL","INCONSISTENTE","BUSETA","1901","4","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","OFICIAL","ACTIVO","BUSETA","1901","43","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PÚBLICO","ACTIVO","BUSETA","1901","2","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","CAMIONETA","1901","4","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PÚBLICO","ACTIVO","CAMIONETA","1901","2","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","CAMPERO","1901","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","OFICIAL","INCONSISTENTE","MICROBUS","1901","2","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","OFICIAL","ACTIVO","MICROBUS","1901","6","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PÚBLICO","INCONSISTENTE","MICROBUS","1901","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PÚBLICO","ACTIVO","MICROBUS","1901","3","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","OFICIAL","ACTIVO","MOTOCICLETA","1901","5","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","MOTOCICLETA","1901","267","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","INCONSISTENTE","MOTOCICLETA","1901","3","AGOSTO","2026"
"PUTUMAYO","PUERTO ASIS","PARTICULAR","ACTIVO","MOTOCICLETA","1901","1","AGOSTO","2026"
"RISARALDA","PEREIRA","PARTICULAR","ACTIVO","MOTOCICLETA","1901","1","AGOSTO","2026"
"SANTANDER","BARBOSA","OFICIAL","ACTIVO","BUSETA","1901","1","AGOSTO","2026"
"SANTANDER","BARBOSA","PARTICULAR","ACTIVO","CAMIONETA","1901","1","AGOSTO","2026"
"SANTANDER","BARBOSA","OFICIAL","ACTIVO","MICROBUS","1901","1","AGOSTO","2026"
"SANTANDER","BUCARAMANGA","PARTICULAR","ACTIVO","MOTOCICLETA","1901","9","AGOSTO","2026"
"SANTANDER","FLORIDABLANCA","OFICIAL","ACTIVO","AUTOMOVIL","1901","1","AGOSTO","2026"
"SANTANDER","FLORIDABLANCA","OFICIAL","ACTIVO","CAMIONETA","1901","1","AGOSTO","2026"
"SANTANDER","FLORIDABLANCA","PARTICULAR","ACTIVO","CAMPERO","1901","1","AGOSTO","2026"
"SANTANDER","FLORIDABLANCA","PARTICULAR","ACTIVO","MOTOCICLETA","1901","1","AGOSTO","2026"
"SANTANDER","GIRON","PARTICULAR","ACTIVO","MOTOCICLETA","1901","1","AGOSTO","2026"
"SANTANDER","SOCORRO","PARTICULAR","ACTIVO","CAMIONETA","1901","1","AGOSTO","2026"
"TOLIMA","IBAGUE","PARTICULAR","ACTIVO","AUTOMOVIL","1901","1","AGOSTO","2026"
"VALLE DEL CAUCA","CALI","PARTICULAR","ACTIVO","MOTOCICLETA","1901","1","AGOSTO","2026"
"VALLE DEL CAUCA","TULUA","PARTICULAR","ACTIVO","MOTOCICLETA","1901","1","AGOSTO","2026"
"BOLIVAR","SANTA ROSA","OFICIAL","ACTIVO","CAMPERO","1902","1","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","MOTOCICLETA","1902","1","AGOSTO","2026"
"VALLE DEL CAUCA","ZARZAL","PARTICULAR","ACTIVO","MOTOCICLETA","1902","1","AGOSTO","2026"
"MAGDALENA","SITIONUEVO","PARTICULAR","ACTIVO","MOTOCICLETA","1903","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PÚBLICO","ACTIVO","AUTOMOVIL","1903","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","AUTOMOVIL","1903","1","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","MOTOCICLETA","1904","1","AGOSTO","2026"
"CORDOBA","LA APARTADA","PARTICULAR","ACTIVO","MOTOCICLETA","1904","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PÚBLICO","ACTIVO","VOLQUETA","1904","1","AGOSTO","2026"
"SANTANDER","BARRANCABERMEJA","PARTICULAR","ACTIVO","MOTOCICLETA","1904","1","AGOSTO","2026"
"SANTANDER","SOCORRO","PARTICULAR","ACTIVO","MOTOCICLETA","1904","1","AGOSTO","2026"
"ANTIOQUIA","ENVIGADO","PARTICULAR","ACTIVO","AUTOMOVIL","1905","2","AGOSTO","2026"
"BOYACA","NOBSA","PARTICULAR","ACTIVO","AUTOMOVIL","1905","1","AGOSTO","2026"
"CAUCA","TIMBIO","PARTICULAR","ACTIVO","AUTOMOVIL","1905","4","AGOSTO","2026"
"CAUCA","TIMBIO","PARTICULAR","ACTIVO","CAMIONETA","1905","1","AGOSTO","2026"
"CAUCA","TIMBIO","PARTICULAR","ACTIVO","CAMPERO","1905","2","AGOSTO","2026"
"CAUCA","TIMBIO","PARTICULAR","ACTIVO","MOTOCICLETA","1905","3","AGOSTO","2026"
"HUILA","TIMANA","PARTICULAR","ACTIVO","VOLQUETA","1905","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","MOTOCICLETA","1905","1","AGOSTO","2026"
"NORTE DE SANTANDER","EL ZULIA","PARTICULAR","ACTIVO","MOTOCICLETA","1905","1","AGOSTO","2026"
"SANTANDER","BARRANCABERMEJA","PARTICULAR","ACTIVO","MOTOCICLETA","1905","1","AGOSTO","2026"
"BOYACA","GUATEQUE","PÚBLICO","ACTIVO","BUS","1906","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","AUTOMOVIL","1906","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","MOTOCICLETA","1906","1","AGOSTO","2026"
"BOYACA","GARAGOA","PARTICULAR","ACTIVO","AUTOMOVIL","1907","1","AGOSTO","2026"
"META","VILLAVICENCIO","PARTICULAR","ACTIVO","MOTOCICLETA","1907","1","AGOSTO","2026"
"RISARALDA","PEREIRA","PÚBLICO","ACTIVO","AUTOMOVIL","1907","1","AGOSTO","2026"
"SANTANDER","BARRANCABERMEJA","PARTICULAR","ACTIVO","AUTOMOVIL","1907","1","AGOSTO","2026"
"SANTANDER","BARRANCABERMEJA","PARTICULAR","ACTIVO","MOTOCICLETA","1907","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","CAMPERO","1908","1","AGOSTO","2026"
"BOLIVAR","SANTA ROSA","PÚBLICO","ACTIVO","AUTOMOVIL","1908","1","AGOSTO","2026"
"CESAR","AGUACHICA","PARTICULAR","ACTIVO","MOTOCICLETA","1908","1","AGOSTO","2026"
"RISARALDA","PEREIRA","PARTICULAR","ACTIVO","CAMION","1908","1","AGOSTO","2026"
"SANTANDER","BARRANCABERMEJA","PARTICULAR","ACTIVO","CAMIONETA","1908","2","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","CAMIONETA","1909","1","AGOSTO","2026"
"BOLIVAR","SANTA ROSA","OFICIAL","ACTIVO","CAMIONETA","1909","1","AGOSTO","2026"
"CALDAS","MANIZALES","PARTICULAR","ACTIVO","AUTOMOVIL","1909","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","MOTOCICLETA","1909","2","AGOSTO","2026"
"QUINDIO","CIRCASIA","PARTICULAR","ACTIVO","MOTOCICLETA","1909","1","AGOSTO","2026"
"RISARALDA","PEREIRA","PARTICULAR","ACTIVO","AUTOMOVIL","1909","1","AGOSTO","2026"
"RISARALDA","PEREIRA","PARTICULAR","INCONSISTENTE","MOTOCICLETA","1909","1","AGOSTO","2026"
"SANTANDER","BARRANCABERMEJA","PARTICULAR","ACTIVO","MOTOCICLETA","1909","1","AGOSTO","2026"
"SANTANDER","BUCARAMANGA","PÚBLICO","ACTIVO","CAMION","1909","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","MOTOCICLETA","1910","1","AGOSTO","2026"
"BOYACA","SABOYA","PARTICULAR","ACTIVO","MOTOCICLETA","1910","1","AGOSTO","2026"
"MAGDALENA","SITIONUEVO","PARTICULAR","ACTIVO","MOTOCICLETA","1910","1","AGOSTO","2026"
"NARINO","TANGUA","PÚBLICO","ACTIVO","VOLQUETA","1910","1","AGOSTO","2026"
"TOLIMA","ARMERO","PARTICULAR","ACTIVO","MOTOCICLETA","1910","8","AGOSTO","2026"
"CESAR","LA PAZ","PARTICULAR","ACTIVO","AUTOMOVIL","1911","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","CAMIONETA","1912","1","AGOSTO","2026"
"RISARALDA","PEREIRA","PARTICULAR","ACTIVO","AUTOMOVIL","1912","1","AGOSTO","2026"
"ATLANTICO","BARRANQUILLA","PARTICULAR","ACTIVO","AUTOMOVIL","1913","1","AGOSTO","2026"
"NORTE DE SANTANDER","EL ZULIA","PARTICULAR","ACTIVO","MOTOCICLETA","1914","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","CAMION","1916","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","AUTOMOVIL","1917","1","AGOSTO","2026"
